cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
gym short men,健身房矮个子男人,,,自然搜索词,0,2,B01AK7Y102/B08JGBB9N1,"1,632,367","1,121",33,2.99%,"26,138",528,1,0,"8,321",0.1,4,14.10%,0.00%,$1.45 ,$1.14 - $1.85,B09LTQWRV7,7.80%,0.00%,B01AK7Y12A,3.10%,0.00%,B07H5QPL1R,3.10%,0.00%,"B0CRHF41F7,B08JGBB9N1,B085NF55WL,B09PYSSR6D,B09LTQWRV7,B07H5QPL1R,B0CRRF28SH,B0BNW2CZNM,B0036OS6KI,B07NDP7HYC","gym, Short"
gym shoets,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,"11,492",,20,,,,-,,,,,,,,,,,gym
gym shoes men,男式运动鞋,,,SP广告词,0,1,B0CHMQ6Z7W,"40,055","44,075","4,332",9.83%,"1,238,903","19,479",99,0,"3,371",13.1,173,7.60%,0.10%,$0.89 ,$0.68 - $1.12,B08FRB6FRZ,3.20%,0.10%,B07N64QLYM,2.60%,0.00%,B0C7VR1B3W,1.90%,0.00%,"B09XBVM335,B087TGZQRZ,B0BHPSHTR8,B0BGQQHJFF,B07B41529L,B0C7VR1B3W,B0BG91KJ45,B098SGY494,B08KKDSM4Z,B07RJTNWMV","gym, Shoes"
gym shiorts,,,,自然搜索词,0,1,B09P3T8X61,,,,,,,,,0,,0,,,,-,,,,,,,,,,,gym
gym shark shorts for woman,,,,SP广告词,0,1,B09P3T8X61,,,,,,,,,0,,162,,,,-,,,,,,,,,,,"Woman, Shorts, gym"
gym shark mens shorts,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,195,,0,,,,-,,,,,,,,,,,"Shorts, gym"
gym shark men shorts,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,159,,25,,,,-,,,,,,,,,,,"Shorts, gym"
gym set for men,男士健身房套装,,,自然搜索词,0,1,B08JGBB9N1,"1,919,299","1,250",35,2.87%,"37,030",539,1,0,"6,778",0.2,43,22.10%,0.00%,$0.79 ,$0.63 - $0.98,B0C14BB4B7,10.30%,0.00%,B09FYTG37V,5.90%,0.00%,B09SPW1QYT,5.90%,0.00%,"B0C14BB4B7,B09SPW1QYT,B09TQCT86D,B0CL52N3NK,B0C615HBP1,B0BRN8D56D,B01LR5SM74,B08SM2ZX81,B0C619291K,B0BKLTLSPN","gym, Set"
gym men shorts,,,,自然搜索词,0,2,B08JGBB9N1/B0C1365SJV,,,,,,,,,"7,691",,25,,,,-,,,,,,,,,,,"Shorts, gym"
gym for men,男子健身房,,,自然搜索词,0,1,B01AK7Y102,"1,102,636","1,262",117,9.35%,"33,466",528,3,0,"35,456",0,9,14.50%,28.60%,$3.99 ,$2.99 - $4.96,B09W9TYLW9,6.60%,28.60%,B0BZDLXKTS,5.30%,0.00%,1955710279,2.60%,0.00%,"B077ZJXCTS,B09W9TYLW9,B0785VMVF4,B09LTQWRV7,B07GSJ45CF,B08ZSCHSNV,B08RYRJW2L,B07JG7WN8L,B08BBYCN46,B09PYSSR6D",gym
gym clothing men,,,,自然搜索词,0,1,B08JGBB9N1,"2,037,205",,,,,,,,"21,840",,10,,,,-,,,,,,,,,,,"Clothing, gym"
gym clothes for men set,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,"8,731",,10,,,,-,,,,,,,,,,,"gym, Set"
gym ahorts,,,,自然搜索词,0,2,B08JGBB9N1/B09P3T8X61,,,,,,,,,"11,897",,8,,,,-,,,,,,,,,,,gym
guy shorts,男短裤,,,自然搜索词,0,3,B00AKSCXEI/B08JGBB9N1/B0BFDSVMPF,"1,674,334",438,12,2.92%,"9,444",180,1,0,"1,414",0.3,9,21.60%,0.00%,$1.17 ,$1.05 - $1.37,B0BZPJW6G4,10.80%,0.00%,B0151E6OUY,5.40%,0.00%,B0151E6WPQ,5.40%,0.00%,"B08JGBB9N1,B0BLKKW3M4,B085NF55WL,B0BZPJW6G4,B08CMSZS9N,B07YP9J4VS,B00CYY53V6,B07NF3V7M5,B07PHVTYT5,B09DCTLVCC",Shorts
guy gym shorts,,,,SP广告词,0,1,B0BFDTMBGP,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Shorts, gym"
gum shorts,口香糖短裤,,,自然搜索词,0,1,B01AK7Y102,"1,358,966",871,23,2.76%,"20,158",399,1,0,722,1.2,4,24.10%,9.10%,$0.99 ,$0.73 - $1.09,B09N8K6B43,12.10%,9.10%,B0BDLZDV83,6.90%,0.00%,B0BNJTX2WD,5.20%,0.00%,"B0BNJTX2WD,B09N8K6B43,B0723CZCRJ,B0C2K4VK4R,B0BQMXR51P,B09PYSSR6D,B0BNH6PKYR,B0BN5T11MK,B0151E6PBM,B08D2PB97C",Shorts
gtrhsb,,,,SP广告词,0,1,B09WMZX9C2,,,,,,,,,0,,116,,,,-,,,,,,,,,,,
grey golf shorts,灰色高尔夫球短裤,,,SP广告词,0,1,B0C4GV51WK,"1,517,510",800,21,2.63%,"18,893",322,1,0,"9,389",0.1,4,30.90%,0.00%,$0.92 ,$0.68 - $1.14,B096YN9ZLL,10.90%,0.00%,B0BPLVMWMF,10.90%,0.00%,B0CYPH2B74,9.10%,0.00%,"B07PPXVTXJ,B0BPLWM5QP,B0CYPH2B74,B0B82HSB97,B095RS8C7J,B096YN9ZLL,B06Y5H23LF,B00P3YVNC2,B0C1BRS1W8,B07F441GZ4","Golf, grey, Shorts"
green nike shorts,绿色耐克短裤,,,视频广告词,0,1,B0BFDTMBGP,"1,592,358",610,20,3.35%,"17,562",294,1,0,516,1.2,5,40.00%,0.00%,$0.80 ,$0.61 - $1.09,B0BXZ3TTH7,20.00%,0.00%,B07HR5R13C,13.30%,0.00%,B0C6B4YCBY,6.70%,0.00%,"B0BKN541BH,B0B6KKVFL3,B0BXZ3TTH7,B0B1DNQ8JC,B0CJHWGYV9,B0C6B4YCBY,B0C67KPQJR,B0BXYXWVRZ,B072JVHHM4,B0B4C9CSH2","Green, Shorts, NIKE"
green cargo shorts,绿色工装短裤,,,SP广告词,0,1,B0BFDRQLNC,"1,229,374","1,306",38,2.96%,"35,489",503,1,1,"3,501",0.4,9,13.20%,2.90%,$0.61 ,$0.44 - $0.69,B0CG8RRG76,4.50%,0.00%,B0CPDTGNM5,4.50%,0.00%,B0CQZ3RHG7,4.20%,2.90%,"B0CQZ3RHG7,B01JQTH70G,B0711D12BP,B0CT4NPR1V,B017URQNWE,B0CX8RSKNP,B0C4C7SZMH,B07YPDRHBX,B0CQZ5YN1B,B08NZPV35Y","Green, Shorts, Cargo, Cargo Shorts"
graphic basketball shorts men,,,,自然搜索词,0,1,B0C1365SJV,"2,243,269",,,,,,,,"4,296",,9,,,,-,,,,,,,,,,,"Basketball, Shorts, Graphic"
gore wear cycling men,戈尔穿骑自行车的人,,,SP广告词,0,1,B0CHMM393V,"1,812,596",696,3,0.49%,"15,596",308,1,0,241,2.9,16,21.50%,0.00%,$1.20 ,$0.89 - $1.50,B075V4HCYF,7.80%,0.00%,B07WLXKRSW,7.80%,0.00%,B07WCB8CKL,5.90%,0.00%,"B07W71LNMC,B07WLY87Y5,B075V536LR,B075S2Q65K,B082YDX8P6,B0CRZD6FT9,B002BXIXEO,B0CRZG23KS,B075V5F1VJ,B0B5B1SKB3",
goodstoworld,,,,SP广告词,0,1,B0C4GQTCJK,,,,,,,,,0,,20,,,,-,,,,,,,,,,,Goodstoworld
golfing shorts for men,男士高尔夫球短裤,,,自然搜索词,0,1,B09P3T8X61,"1,141,769","1,265",32,2.58%,"37,000",493,1,0,"1,678",0.8,4,21.40%,1.90%,$1.50 ,$1.12 - $1.87,B0CSDJ69RQ,8.90%,0.00%,B096YLSDLP,8.10%,1.90%,B0CFDQTRRF,4.40%,0.00%,"B0CSDJ69RQ,B096YLSDLP,B07PMTLHHP,B01JQTBSU6,B08TSYTWP8,B07FHBPYYV,B0BPLVMWMF,B08LNYDVC2,B00P3YV3NG,B0775B4YQ2",Shorts
golf prime day deals,,,,自然搜索词,0,1,B0B4RQCZR1,,,,,,,,,"167,553",,80,,,,-,,,,,,,,,,,"Golf, Prime"
golf gifts for men funny,,,,SP广告词,0,1,B09WMYXNJ9,,,,,,,,,0,,44,,,,-,,,,,,,,,,,"Golf, Funny"
golf deals of the day,,,,自然搜索词,0,1,B0C4GV51WK,,,,,,,,,"8,440",,55,,,,-,,,,,,,,,,,Golf
golf athletic dresses with built in bra shorts,,,,SP广告词,0,1,B09WMZR2XM,,,,,,,,,0,,56,,,,-,,,,,,,,,,,"Golf, Shorts, Athletic"
gingtto men cargo shorts,,,,SP广告词,0,1,B09P3T8X61,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Shorts, Cargo, Cargo Shorts"
gildan shorts for men,gildan 男士短裤,Y,,AC推荐词,0,2,B0151E6WPQ/B08JGBB9N1,"1,763,278",959,32,3.35%,"20,488",438,1,0,807,1.2,4,22.60%,0.00%,$1.21 ,$0.91 - $1.50,B0151E6WPQ,8.10%,0.00%,B07H5QPL1R,8.10%,0.00%,B0151E6TM2,6.50%,0.00%,"B0151E6WPQ,B08JGBB9N1,B077ZKV826,B07H5PTQML,B08JSBZ884,B09T3R578C,B082G9PZQ8,B000MND7HS,B07RJSL1TL,B077ZMJKPF","Shorts, Gildan"
gildan shorts,,Y,,AC推荐词,0,3,B0151E6WPQ/B08JGBB9N1/B09P3T8X61,"1,863,300",,,,,,,,811,,7,,,,-,,,,,,,,,,,"Shorts, Gildan"
gifts for men who work out,送给健身男士的礼物,,,自然搜索词,0,1,B0BFDVPFKX,"1,083,443","1,359",13,0.96%,"27,890",611,1,0,"1,924",0.7,2,21.20%,10.80%,$1.26 ,$0.94 - $1.59,B0CRR1XXC4,8.40%,2.70%,B0BFF5MN6T,6.90%,2.70%,B00BP570Z2,5.80%,5.40%,"B0CRR1XXC4,B0BFF5MN6T,B00IO3LLM6,B00BP570Z2,B081TQB6BC,B077ZLX2TG,B07PFCGH26,B08RYMG8VQ,B07KQR9VXG,B08BC88KG1", work
gifts for disabled men,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Gift
gifted for men,,,,SP广告词,0,2,B0B9G7J8C7/B0BFF67H1W,,,,,,,,,"2,944",,94,,,,-,,,,,,,,,,,Gift
germany shorts,,,,SP广告词,0,1,B09P3T8X61,,,,,,,,,0,,24,,,,-,,,,,,,,,,,Shorts
geekera,,,,SP广告词,0,1,B0C4GQTCJK,,,,,,,,,0,,0,,,,-,,,,,,,,,,,
gaglg,gaglg,,,SP广告词,0,1,B0BFDRQLNC,"1,065,473","2,371",70,2.99%,"52,565","1,050",2,0,39,60.8,27,33.80%,10.70%,$1.35 ,$1.00 - $1.69,B09W9J74JC,15.70%,4.80%,B09PYTB8SD,10.20%,4.80%,B09PYSSR6D,7.90%,1.20%,"B09PYTB8SD,B0C27FN2BN,B08GLXZSV7,B0BZPJW6G4,B0BXWDSX7X,B0CN173JQ3,B07SJQQHWW,B094F5SQ84,B0BS3S1MHC,B0BYZDHRK8",
g gradual bermuda shorts,,,,SP广告词,0,1,B01AK7Y102,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Shorts, Bermuda shorts"
fruit of the loom cotton shorts,织机的果实棉短裤,Y,,AC推荐词,0,1,B09T3QHVVM,"1,973,956",610,16,2.75%,"17,230",246,1,0,601,1,3,40.00%,12.50%,,-,B09T3QHVVM,22.20%,12.50%,B0B193DXXS,11.10%,0.00%,B0D918VXCW,6.70%,0.00%,"B09T3QHVVM,B0151E6XTG,B0BVMTKGVY,B0B193DXXS,B08FBJJBC2,B000KK693C,B00719WZ7Y,B07RJSL1TL,B08GZQ3SPN,B0BTTPSSR2","Cotton, Shorts, Fruit of the Loom, Fruit"
french terry shorts men,毛圈布短裤男士,,,SP广告词,0,1,B0BFDSVMPF,"665,223","2,444",71,2.93%,"52,281","1,113",2,0,490,5,4,15.40%,3.70%,$0.79 ,$0.58 - $0.99,B0BJDCNLTJ,6.90%,0.00%,B0BJDCGKHB,5.40%,0.00%,B0BB883KN5,3.20%,3.70%,"B0BJDCNLTJ,B0BB883KN5,B08VHLYGCD,B09XC8P994,B00AKSCYBA,B0C12HT8K8,B0C5K3TMLQ,B0872MJ9P8,B01BUJ0L0I,B000MND7GO","Shorts, French, Terry"
free fly shorts,自由飞短裤,,,自然搜索词,0,1,B09WMYXNJ9,"1,252,196","1,140",29,2.63%,"23,974",454,1,0,574,2,4,17.40%,0.00%,$3.88 ,$2.91 - $4.84,B0BX27SS2N,5.80%,0.00%,B0C6CV2LRL,5.80%,0.00%,B0CBL2DBX1,5.80%,0.00%,"B0BX1YWS38,B0BX22112P,B0CVSHSCQS,B0C6B1SJ87,B0BX2118KX,B0CBKZXHTB,B0C6B35HN7,B0CBKZK4ZN,B0C6CGZM7F,B0BX22CFZW","Fly, Shorts"
free country shorts mens,自由乡村短裤男装,,,自然搜索词,0,1,B01AK7Y102,"2,166,984",556,17,3.09%,"12,457",272,1,0,125,4.5,9,26.20%,100.00%,$1.13 ,$0.86 - $1.41,B09P3SJKJL,9.50%,100.00%,B092Q44MG8,9.50%,0.00%,B09W9DH19G,7.10%,0.00%,"B09P3V2ZCD,B0723CZCRJ,B0C2C4LV36,B0CPJQ8N4P,B0C53PCLJ4,B092Q44MG8,B09SL3RQ1M,B08V19XFS2,B09W9DH19G,B09VGN8V72","Shorts, Country"
free country shorts,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,357,,5,,,,-,,,,,,,,,,,"Shorts, Country"
fourth of july shorts men,,,,SP广告词,0,1,B0B9G7J8C7,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
fourth of july mens outfit,,,,SP广告词,0,1,B0BFDVPFKX,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Outfit
football shorts for men,男式足球短裤,,,SP广告词,0,2,B08JGBB9N1/B09P3T8X61,"1,329,596","1,203",35,2.97%,"33,646",566,1,0,"8,390",0.1,4,13.80%,0.00%,$1.12 ,$0.79 - $1.42,B082XS4MGN,6.20%,0.00%,B08JGBB9N1,4.20%,0.00%,B08JG3T2SY,3.50%,0.00%,"B08JGBB9N1,B094JKXP76,B08T6MSSKL,B087M3MJ1L,B0D1QWYNH7,B07CZDPVRJ,B08D2TC7BT,B0CRRF28SH,B07PGD2SD1,B0728KK8VK","Football, Shorts"
flx shorts for men,flx 男士短裤,,,SP广告词,0,1,B0BFDTMBGP,"1,629,972",982,28,2.91%,"25,276",429,1,0,121,8.1,6,14.30%,0.00%,$1.24 ,$0.93 - $1.54,B09SKW1M62,4.80%,0.00%,B0BS3S1MHC,4.80%,0.00%,B0C1TYTY6Z,4.80%,0.00%,"B0C1TYTY6Z,B0C1JKXQJW,B09XQWRBHB,B0BS3S1MHC,B0BVT9V2XD,B0BFDSKS9H,B0BQL1HGZ4,B0CTBP1JX8,B0BT7541WJ,B07QV7SBW7",Shorts
fleetwood clothing for men,,,,视频广告词,0,1,B0BFDTMBGP,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Clothing
fleece shorts for men,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,"2,509",,4,,,,-,,,,,,,,,,,"Shorts, Fleece"
fleece mens shorts,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,"2,435",,24,,,,-,,,,,,,,,,,"Shorts, Fleece"
fleece jersey,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,0,,41,,,,-,,,,,,,,,,,"Fleece, Jersey"
flag shorts,,,,SP广告词,0,2,B0BFDTMBGP/B0BFDVPFKX,,,,,,,,,"25,276",,24,,,,-,,,,,,,,,,,"Shorts, Flag"
fitness wear for men,,,,自然搜索词,0,1,B09WMZR2XM,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Fitness
fitness shorts men,健身短裤男士,,,自然搜索词,0,1,B08JGBB9N1,"1,329,289","1,437",28,1.97%,"32,469",602,1,0,"2,768",0.5,24,15.30%,0.00%,$1.50 ,$1.12 - $1.87,B08XM7421N,5.70%,0.00%,B089JY3L85,5.00%,0.00%,B08LGWPRBQ,4.70%,0.00%,"B09LTQWH1Z,B085NF55WL,B08XM7421N,B08LGWPRBQ,B08JGBB9N1,B083463RFH,B0BWQD4FF9,B07NDP7HYC,B09P3RHNSY,B09PYSW3SM","Fitness Shorts, Shorts, Fitness"
fitness shorts,健身短裤,,,SP广告词,0,1,B09P3T8X61,"1,590,074","1,619",47,2.95%,"48,214",759,2,2,"6,047",0.3,9,12.30%,0.00%,$0.95 ,$0.72 - $1.20,B097D5ZP88,5.20%,0.00%,B0BQMXR51P,4.10%,0.00%,B08XM7421N,3.10%,0.00%,"B085NF55WL,B08XM7421N,B09N8K6B43,B0BJQ81RJL,B0C142F9K3,B0C1BJ6LVQ,B09L11GW8X,B091DDT2BV,B0BD87CNBF,B09ST54LFT","Fitness Shorts, Shorts, Fitness"
fitness clothes with long sleeves for men,,,,SP广告词,0,1,B0BFF67H1W,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Long Sleeve, Long, Fitness"
fit seamless workout shorts,,,,SP广告词,0,2,B09WMZR2XM/B09WMZX9C2,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Workout, Shorts"
fishing clothing fishing clothing,,,,自然搜索词,0,1,B09WMYXNJ9,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Fishing, Clothing"
fila mens shorts,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
fashion-t-shirts,,,,SP广告词,0,1,B0C4GV51WK,,,,,,,,,0,,65,,,,-,,,,,,,,,,,T-shirt
fabric shorts men,,,,自然搜索词,0,1,B00AKSCXEI,,,,,,,,,0,,7,,,,-,,,,,,,,,,,"Shorts, Fabric"
fabletics the one short,,,,自然搜索词,0,1,B09XQVCZ8B,,,,,,,,,261,,15,,,,-,,,,,,,,,,,Short
exercise shorts mens,,,,自然搜索词,0,2,B01AK7Y102/B08JGBB9N1,"2,164,633",641,23,3.64%,"17,167",309,1,0,"12,843",0.1,5,19.10%,0.00%,$1.38 ,$1.25 - $1.61,B082XS4MGN,6.40%,0.00%,B09WY9ZDCB,6.40%,0.00%,B0CKMBRZXC,6.40%,0.00%,"B08JGBB9N1,B07H5QPL1R,B0CRRGWXMS,B08CXW8ZJD,B09PYTHR82,B09P3RHNSY,B0BWQD4FF9,B072JBQRLG,B0CSN9VJZN,B0151E6WTW",Shorts
exercise shorts men,男士运动短裤,Y,,自然搜索词/AC推荐词,0,1,B08JGBB9N1,"1,204,363","1,291",34,2.66%,"31,780",513,1,0,"12,544",0.1,8,14.60%,7.80%,$1.41 ,$1.07 - $1.77,B0728KK8VK,7.50%,2.60%,B072JBQRLG,3.60%,2.60%,B07H5QPL1R,3.60%,2.60%,"B07H5QPL1R,B08JGBB9N1,B08CXW8ZJD,B09P3RHNSY,B0CRRGWXMS,B09PYTHR82,B072JBQRLG,B00KUL0W1G,B0CRHF41F7,B0151E6WTW",Shorts
exercise clothes for men,男士运动服,,,自然搜索词,0,1,B08JGBB9N1,"1,120,190","1,546",7,0.48%,"31,363",603,1,0,"43,448",0,10,13.20%,1.50%,$0.79 ,$0.58 - $0.99,B07BLXWXP8,5.40%,0.00%,B08BBYCN46,5.10%,0.00%,B0CT3HL8KK,2.70%,1.50%,"B08BBYCN46,B07DRNTL8K,B07H5QPL1R,B07D123XY9,B08RYV6SJ3,B083463RFH,B07NWYM9LG,B07MBR1WZV,B09H79QJSH,B08JGBB9N1",
everlast shorts for men,男士永恒短裤,,,自然搜索词,0,1,B00AKSCXEI,"2,096,053",535,13,2.55%,"15,235",213,1,0,225,2.4,0,17.10%,0.00%,$1.21 ,$0.91 - $1.50,B000JC0YP0,7.30%,0.00%,B00KUL0W1G,4.90%,0.00%,B0BZPMDBPM,4.90%,0.00%,"B00719ZMUG,B08JGBB9N1,B0C6VR981X,B000JBZ636,B07H5Q7BNT,B08D2QCQT7,B01BUJ0P2M,B01AK7Y12A,B006CV3QZW,B01ES415H0",Shorts
everlast shorts,永恒的短裤,,,自然搜索词,0,2,B00AKSCXEI/B08JGBB9N1,"1,628,789",140,22,15.80%,"3,438",55,1,0,288,0.5,4,18.20%,0.00%,$1.17 ,$0.83 - $1.41,B00719ZMUG,6.10%,0.00%,B09GPGZ5SS,6.10%,0.00%,B0C64FXK7S,6.10%,0.00%,"B07NDP7ZTX,B00719ZGNO,B08JGBB9N1,B08JTQP6VY,B01AK7Y12A,B0728KK8VK,B09YXVKZ4F,B09GPHH49R,B0C64L6P92,B01ES415H0",Shorts
essentials shorts men,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,"1,935",,0,,,,-,,,,,,,,,,,"Essential, Shorts"
essential shorts men,,,,自然搜索词,0,2,B0151E6WPQ/B08JGBB9N1,,,,,,,,,"1,949",,4,,,,-,,,,,,,,,,,"Essential, Shorts"
elastic waist shorts,弹性腰部短裤,,,自然搜索词,0,1,B09T3QHVVM,"1,670,209",491,17,3.51%,"12,880",238,1,5,"14,449",0,9,10.20%,16.70%,$1.33 ,$0.87 - $1.65,B000MND79Q,5.10%,0.00%,B08MVRP48F,2.60%,16.70%,B000KK2NAA,2.60%,0.00%,"B0151E6WTW,B08JHJZMXV,B01NB10GAT,B08PYNVKW1,B09T3QHVVM,B01N5XFTON,B000MND79Q,B083LHRJR1,B07BDD8441,B01AK7YF80","Shorts, Elastic, Elastic Waist"
elastic waist mens shorts,,,,自然搜索词,0,2,B08JGBB9N1/B09T3QHVVM,,,,,,,,,"10,180",,9,,,,-,,,,,,,,,,,"Shorts, Elastic, Elastic Waist"
elastic shorts,弹性短裤,,,自然搜索词,0,1,B09T3QHVVM,"1,628,283","1,292",48,3.73%,"25,944",644,2,2,"148,522",0,0,8.50%,6.70%,$1.20 ,$0.77 - $1.53,B07ZRLPBNX,2.80%,6.70%,B08JHJ137C,2.80%,0.00%,B08JHJXT8S,2.80%,0.00%,"B08JGBB9N1,B08JHJ137C,B01JQTDXZE,B0151E6WTW,B0723CZCRJ,B00AKSCZ28,B01ES419IU,B0BWNMWLJX,B01NB10GAT,B07XJCK47H","Shorts, Elastic"
easter basket stuffers men,,,,SP广告词,0,1,B0BFDVPFKX,,,,,,,,,0,,125,,,,-,,,,,,,,,,,Easter
e e shorts,,,,SP广告词,0,1,B0BFDSVMPF,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
dxl shorts,dxl 短裤,,,SP广告词,0,1,B0BFDSVMPF,"2,163,211",803,22,2.74%,"22,426",322,1,0,177,4.5,24,20.00%,9.10%,$0.94 ,$0.70 - $1.19,B09TMG3WFJ,9.10%,0.00%,B078KJQ5CN,7.30%,0.00%,B072JBQRLG,3.60%,9.10%,"B017GAFO4S,B0831F2XC1,B007OX75LI,B0BHZNB17Y,B072JBQRLG,B09TMG3WFJ,B09ZMDZ265,B00VKV6CVE,B07YP993WH,B094633MKZ","Shorts, DXL"
duramo speed men,,,,视频广告词,0,1,B0BFDTMBGP,,,,,,,,,38,,0,,,,-,,,,,,,,,,,
dry quick,,,,视频广告词,0,1,B0BFDTMBGP,,,,,,,,,0,,0,,,,-,,,,,,,,,,,
driworks shorts men,,,,自然搜索词,0,1,B08JGBB9N1,"1,807,731",140,3,2.52%,"3,940",53,1,0,117,1.2,4,21.90%,0.00%,,-,B0BVTJRPZ8,9.40%,0.00%,B0BTKQZS75,6.30%,0.00%,B0BVT9V2XD,6.30%,0.00%,"B09XQW6R59,B0BTKR17WW,B08JTTR45F,B0C4GT8GJG,B09SKW1M62,B0CT65T479,B08JGBB9N1,B08SC6M96R,B0C2T5Q8SQ,B00NLL1ERS",Shorts
