cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
western shirts for men,男士西式衬衣,,1.31%,SP广告词,"10,623 ",2.0,B0BKDX8CCV/B08Q7Q6J2H,"27,023","50,051 ",115 ,0.23%,"1,309,567 ","21,739 ",3 ,10.0,"2,703 ",18.5,110 ,7.2%,2.0%,$1.22,$0.81 - $1.37,B007SWRAKG,3.7%,1.0%,B0D3J8K76Z,1.8%,0.0%,B007SWRBCS,1.8%,1.0%,"B007SWRAKG,B0972BTG4R,B09Y5KFYJ2,B0006SCZRC,B005DIF7IY,B0006SCZUE,B004BP0YRE,B008KH1QZI,B005DIGTRW,B07DYJ1S17","Western Shirt, Western"
beach shirts for men,男士沙滩衫,,1.26%,自然搜索词,"10,224 ",2.0,B08Q7Q6J2H/B0BKCBK6DM,"28,705","59,185 ","6,445 ",10.89%,"1,411,503 ","23,074 ",147 ,1.0,"27,415 ",2.2,129 ,8.3%,1.9%,$1.20,$0.89 - $1.50,B0BV241H3F,3.4%,0.9%,B0CDGPQVKG,3.1%,0.3%,B0BV257YG8,1.9%,0.6%,"B0BV241H3F,B0CNJRTG4H,B0CJTXKT89,B08FHQVRH8,B08SQ6HHSG,B0CMH433G7,B09YRDQRW1,B0BQJW8RKJ,B0CMPXCYPJ,B0BQJV64LT","Beach, Shirt"
tommy bahama shirts for men,汤米巴哈马男士衬衫,Y,1.18%,自然搜索词/AC推荐词,"9,508 ",2.0,B09Y5BD38Q/B0BKCBK6DM,"31,166","55,158 ","3,121 ",5.66%,"1,467,099 ","26,170 ",71 ,0.0,567 ,97.3,76 ,13.6%,1.8%,$0.93,$0.70 - $1.16,B089T8VP37,5.7%,0.4%,B07QL3VV1C,4.5%,0.8%,B0D6SYZJ1C,3.4%,0.5%,"B089T8VP37,B076CCGNMZ,B0D6SYZJ1C,B07NFT64K9,B07991RQGJ,B07ZZ239VR,B00MUSH51M,B0BV236Z29,B07QL3VV1C,B07RL3WW4M",tommy bahama
button up shirt men,纽扣衬衫男士,,1.12%,自然搜索词/品牌广告词/SP广告词,"9,070 ",1.0,B0BKCBK6DM,"30,178","51,460 ","3,607 ",7.01%,"1,479,499 ","23,550 ",82 ,0.0,"10,402 ",5.0,138 ,7.0%,2.0%,$1.01,$0.91 - $1.14,B0BV241H3F,3.9%,1.5%,B0B5GG9CPR,1.6%,0.5%,B0C2H1DTG4,1.5%,0.0%,"B0BV241H3F,B0CX22CQGX,B0CZ938PL7,B083P3C62B,B07756XY2P,B0CL6W4BHQ,B0CNXK4KRH,B0CX1LJCFP,B07JHY5F25,B0CMV5H36S","Button, Shirt, Button Up"
mens shirts casual,男式衬衫休闲,,1.11%,自然搜索词/品牌广告词,"8,975 ",2.0,B0BKCBK6DM/B0BKDX8CCV,"31,985","47,863 ","4,116 ",8.60%,"999,537 ","20,459 ",94 ,0.0,"62,174 ",0.8,122 ,6.1%,1.5%,$1.87,$1.17 - $2.05,B0BVB6LQPT,2.4%,0.7%,B077765WMW,2.1%,0.7%,B0BV241H3F,1.6%,0.2%,"B0BVB6LQPT,B0CQLPRMLB,B077765WMW,B0CZSCZ6M9,B06WVHV3W9,B0CJTYPXLB,B07NFSV1WB,B01GH5JQSI,B0CW39BXTQ,B01EKB4762",Casual
mens hawaiian shirt,男式哈瓦那衬衫,,1.04%,SP广告词,"8,395 ",5.0,B0C6SNK6HY/B0C8P4YGT9/B08Q7XM29N/B0CP1S3J3H/B08Q7Q6J2H,"42,019","41,847 ",251 ,0.60%,"1,227,390 ","16,579 ",6 ,28.0,"6,683 ",6.3,257 ,5.8%,0.6%,$1.07,$0.89 - $1.20,B071GMQW4W,2.1%,0.3%,B0C1BCTNW9,2.0%,0.1%,B07PJHLYRT,1.7%,0.1%,"B0C8LS2F33,B08SQ6HHSG,B09LVGHNYH,B0BL137H3D,B08SQ39PY5,B0CP1TNYTX,B0D4MHWQB6,B089XWCYN6,B07JHQ8TGZ,B0CY1X7XPY","Shirt, hawaiian"
mens casual shirts,男式休闲衬衣,,1.03%,SP广告词,"8,320 ",2.0,B0BKCBK6DM/B08Q7Q6J2H,"34,424","47,895 ","4,056 ",8.47%,"1,249,047 ","21,829 ",93 ,0.0,"62,201 ",0.8,226 ,6.3%,1.2%,$1.27,$0.95 - $1.60,B0BV241H3F,2.3%,0.3%,B0BVB6LQPT,2.2%,0.4%,B077765WMW,1.9%,0.5%,"B0BVB6LQPT,B077765WMW,B0CJTYPXLB,B0CQLPRMLB,B06WVHV3W9,B0CW39BXTQ,B0CMH433G7,B0CN67P2VF,B07NFSV1WB,B0BQMTWDS3",Casual
mens short sleeve button down shirts,男式短袖纽扣衬衣,,1.00%,自然搜索词,"8,065 ",3.0,B0CP1S3J3H/B0BKCBK6DM/B08Q7Q6J2H,"13,691","91,149 ","17,856 ",19.60%,"2,562,417 ","37,556 ",406 ,8.0,"10,564 ",8.6,130 ,15.3%,0.5%,$1.20,$0.89 - $2.41,B08P7BS6SV,10.6%,0.0%,B0BVB6LQPT,2.8%,0.5%,B0CR3QR64C,1.8%,0.0%,"B0BVB6LQPT,B0CQLRTRVM,B07JJJ6GR7,B0CJTZLCQ2,B0CW3HZYX1,B094NBM8KV,B0CSD62HF4,B0775YFQMQ,B08P67DW1V,B0C9LD6PNV","Button, Short, Sleeve, Short Sleeve"
tropical shirts for men,男用热带衬衫,,0.91%,自然搜索词,"7,351 ",5.0,B0BBVSBFKS/B08Q7XM29N/B09Y59M7RZ/B0CP56Q61G/B0CP1S3J3H,"92,138","18,996 ",81 ,0.43%,"398,011 ","7,584 ",2 ,0.0,"3,986 ",4.8,71 ,10.0%,1.7%,$1.04,$0.79 - $1.30,B071GMQW4W,4.0%,0.9%,B0BL137H3D,4.0%,0.5%,B0CDGQ82NG,2.0%,0.3%,"B0BL137H3D,B08SQ39PY5,B09LVJKN4T,B0C5JDG61W,B0CT2SP1K2,B0BV241H3F,B0C8M9KYXF,B0CJTZCHV3,B089Y2MBGZ,B0CDGTZ7LW",Tropical
hawaiian shirts,哈瓦那衬衫,,0.90%,自然搜索词,"7,290 ",3.0,B09Y59M7RZ/B08Q7Q6J2H/B09Y5BD38Q,"59,247","30,327 ",112 ,0.37%,"775,286 ","14,392 ",3 ,53.0,"13,478 ",2.3,287 ,8.3%,1.5%,$0.87,$0.64 - $1.09,B0BX9K5P5R,4.3%,1.2%,B0C1BCTNW9,2.1%,0.2%,B07PJ9Y549,2.0%,0.2%,"B0BL145735,B0CP1TNYTX,B0BX9K5P5R,B09LVGHNYH,B08SQ39PY5,B0BYJ48KW3,B0C1YNXVT9,B08SQ6HHSG,B0CY1X7XPY,B094W1LCZZ",hawaiian
mens button up shirts short sleeve,男士纽扣衬衫短袖,,0.88%,自然搜索词/品牌广告词,"7,119 ",1.0,B0BKCBK6DM,"44,707","40,073 ","5,830 ",14.55%,"1,091,597 ","16,835 ",133 ,0.0,"7,659 ",5.2,49 ,10.1%,0.8%,$0.88,$0.63 - $1.15,B0BV241H3F,4.2%,0.7%,B08P7BS6SV,3.4%,0.0%,B0CSCSZYQW,2.6%,0.1%,"B0BV241H3F,B083P3C62B,B0CWH3LH7N,B0CMV5H36S,B0CN68MMP8,B0CPM64R4C,B07JJJ6GR7,B0CQLRQCYF,B07JHY5F25,B0BNLH7J1C","Button, Short, Sleeve, Short Sleeve"
mens beach shirts,男式沙滩衫,,0.83%,自然搜索词,"6,709 ",2.0,B08Q7Q6J2H/B0BKCBK6DM,"46,521","42,207 ","8,749 ",20.73%,"952,480 ","16,872 ",199 ,0.0,"27,376 ",1.5,138 ,8.2%,2.3%,$1.15,$0.87 - $1.45,B0BV241H3F,3.7%,1.2%,B0CJTXKT89,2.4%,0.3%,B0BV257YG8,2.2%,0.7%,"B0BV241H3F,B0CJTXKT89,B0CMH433G7,B0CNJRTG4H,B08SQ6HHSG,B08VMWYTZ9,B09YRDQRW1,B0CL6WMYZX,B0CWH3LH7N,B0CQ1KKKGJ","Beach, Shirt"
bowling shirts for men,男士保龄球衫,,0.81%,自然搜索词/视频广告词,"6,570 ",1.0,B09Y5BD38Q,"48,353","33,661 ",309 ,0.92%,"968,229 ","14,303 ",8 ,8.0,"4,979 ",6.8,115 ,9.5%,0.7%,$0.68,$0.50 - $0.85,B0C2PL7V5Z,5.3%,0.3%,B0CTR1DFDB,2.4%,0.4%,B0CJTYV62Z,1.8%,0.0%,"B0CTR1DFDB,B0BLW8T61B,B0C2PJLQ44,B0BQ9YNRCW,B0BTYCWGH8,B09N6LNB8R,B09Z2P9CVN,B087WNW2MV,B0D46WW6GZ,B0BVM5XBVP","Bowling, Bowling Shir"
shirts,衬衫,,0.79%,自然搜索词/品牌广告词,"6,405 ",3.0,B08Q7Q6J2H/B0CP1S3J3H/B0BKCBK6DM,"11,985","94,463 ",56 ,0.07%,"2,315,737 ","43,730 ",2 ,102.0,"42,139 ",2.2,876 ,8.0%,2.3%,$1.52,$1.26 - $1.72,B0BZDLXKTS,3.2%,0.0%,B077ZJXCTS,3.1%,1.8%,B08F2P8CS9,1.7%,0.5%,"B077ZJXCTS,B08F2P8CS9,B0BV257BCZ,B086KXNGKY,B086L4XXGG,B077ZMKWVM,B0785FWNL6,B00KBZOTKG,B002GHC19I,B00W80Z87K",Shirt
mens button down shirt,男式纽扣衬衫,,0.76%,自然搜索词/品牌广告词,"6,147 ",2.0,B0BKCBK6DM/B0CP1S3J3H,"53,467","31,033 ","2,749 ",8.86%,"622,070 ","14,547 ",63 ,0.0,"15,162 ",2.1,198 ,7.9%,1.5%,$1.11,$0.94 - $1.34,B0BV241H3F,3.5%,1.1%,B0BV27DL6Y,2.6%,0.1%,B0BV257YG8,1.7%,0.3%,"B07756DQ8K,B06XWPZY24,B0BV241H3F,B0776668MG,B081SLN1VL,B083P3QPH6,B07JX84RQ7,B0CQLQLWXL,B0D4LXM96V,B079ZQRFF1","Button, Shirt, Button Down"
coofandy shirts for men short sleeve,短袖男士衬衫,,0.70%,自然搜索词,"5,661 ",4.0,B0CP56Q61G/B0CP1S3J3H/B0BKCBK6DM/B08Q7XM29N,"150,940","11,499 ",353 ,3.08%,"280,043 ","4,817 ",9 ,0.0,275 ,41.8,14 ,9.4%,0.4%,,-,B0BVB6LQPT,3.5%,0.2%,B0CW3FV6H1,3.0%,0.0%,B0BVB7THLY,2.9%,0.2%,"B0BVB6LQPT,B0CMV4722V,B083P3QPH6,B0CJTXKT89,B0CQLR3GY1,B0CW3CCJZX,B083P4C5C4,B0CY5DK3M5,B0CP1M2C5F,B0CP3C4YSV","Coofandy, Short, Sleeve, Short Sleeve"
mens fashion,男装,,0.68%,自然搜索词/品牌广告词,"5,482 ",1.0,B0BKCBK6DM,"62,417","33,887 ","1,165 ",3.44%,"762,861 ","15,145 ",27 ,1.0,"73,572 ",0.5,75 ,5.8%,0.7%,$0.94,$0.70 - $1.19,B0BV241H3F,3.0%,0.5%,B0CL6T19JJ,1.5%,0.0%,B0CH3D6FMQ,1.3%,0.2%,"B0BLYXM1XB,B0CL6T19JJ,B004HTQ93W,B071JYV6LN,B0CMZKN31G,B0CNSVJGBV,B077ZKDQLV,B014GNEUDE,B09H35K95N,B0CPWQY8G3",Fashion
mens short sleeve shirts,男式短袖衬衣,,0.66%,自然搜索词,"5,358 ",3.0,B0BKCBK6DM/B0CP1S3J3H/B08Q7Q6J2H,"70,989","28,402 ","5,027 ",17.70%,"611,332 ","13,296 ",114 ,0.0,"57,146 ",0.5,71 ,5.7%,0.8%,$1.02,$0.76 - $1.28,B0CR3QR64C,2.1%,0.0%,B0BV27DL6Y,1.8%,0.4%,B0BV257YG8,1.8%,0.4%,"B07JX84RN5,B0BV27DL6Y,B07JJJ6GR7,B0CW39BXTQ,B0C3D5HR1L,B07XLTPC5L,B06W5JQHXV,B0CJTYZQQM,B083P314GB,B0C3D886WL","Short, Sleeve, Short Sleeve"
men's hawaiian shirts,男式哈瓦那衬衣,,0.64%,自然搜索词,"5,162 ",2.0,B08Q7XM29N/B09Y59M7RZ,"138,096","13,775 ","2,365 ",17.17%,"282,370 ","5,909 ",54 ,7.0,"6,791 ",2.0,88 ,6.7%,0.4%,$1.75,$1.10 - $3.00,B07PJHLYRT,2.8%,0.0%,B07PJ9XBB6,2.0%,0.2%,B0C8M71HPV,1.8%,0.2%,"B0C8LS2F33,B0BL137H3D,B0CY1X7XPY,B07PJ9XBB6,B09LVJKN4T,B0CP1TNYTX,B0CSYV8723,B089XWCYN6,B093RZQLVX,B0C7MXCPHB",hawaiian
short sleeve shirts for men,男士短袖衬衫,,0.63%,自然搜索词,"5,113 ",5.0,B0BKCBK6DM/B0CP1S3J3H/B08Q7Q6J2H/B09Y59M7RZ/B08Q7XM29N,"83,202","22,859 ","3,888 ",17.01%,"557,652 ","9,592 ",89 ,0.0,"56,621 ",0.4,113 ,5.8%,1.4%,$1.23,$0.92 - $1.53,B07XLTPC5L,2.1%,0.3%,B0BV27DL6Y,2.0%,0.5%,B0BV257YG8,1.8%,0.5%,"B0BV27DL6Y,B07JX84RN5,B07JJJ6GR7,B07XLTPC5L,B06W5JQHXV,B0C3D5HR1L,B0CW39BXTQ,B07DRMT92L,B083P3QPH6,B079TN6RR3","Short, Sleeve, Short Sleeve"
mens hawaiian shirts,男式哈瓦那衬衫,,0.58%,自然搜索词,"4,688 ",5.0,B0C8P4YGT9/B0CP1S3J3H/B08Q7XM29N/B09Y59M7RZ/B08Q7Q6J2H,"202,000","8,920 ",46 ,0.52%,"227,419 ","3,409 ",2 ,14.0,"6,669 ",1.3,111 ,8.0%,0.4%,$1.04,$0.79 - $1.30,B0BL137H3D,3.2%,0.4%,B0BL2XJ4KT,2.8%,0.0%,B07PJHLYRT,2.0%,0.0%,"B0BL137H3D,B0CY1X7XPY,B093RZQLVX,B07PJ9XBB6,B0CP1TNYTX,B089XWCYN6,B09LVJKN4T,B09LVGHNYH,B0CSK6QLSF,B08Q7XM29N",hawaiian
mens shirts short sleeve,男式衬衫短袖,,0.52%,自然搜索词,"4,194 ",3.0,B0BKCBK6DM/B0CP1S3J3H/B08Q7Q6J2H,"95,147","20,971 ","4,143 ",19.76%,"470,409 ","10,333 ",95 ,0.0,"55,106 ",0.4,83 ,5.3%,0.9%,$1.15,$0.87 - $1.45,B07XLTPC5L,2.0%,0.3%,B0BV257YG8,1.7%,0.5%,B07JJJ6GR7,1.5%,0.2%,"B0BV27DL6Y,B07XLTPC5L,B07JJJ6GR7,B01GH5GSLG,B0CJTYZQQM,B0BV257YG8,B01MYH6PWW,B0C3D5HR1L,B079Z12CRG,B077XRHGWQ","Short, Sleeve, Short Sleeve"
true classic,真经典,,0.49%,自然搜索词,"3,975 ",1.0,B0BKCBK6DM,"22,279","75,881 ",561 ,0.74%,"1,544,270 ","36,749 ",13 ,100.0,417 ,182.0,91 ,22.3%,9.1%,$1.99,$1.49 - $2.49,B0CCT3WHSS,9.2%,4.0%,B0CCT3T4B6,7.3%,2.4%,B0BJZ8WJ86,5.8%,2.8%,"B0CCT3WHSS,B0BJZSSMVZ,B0BJZ7PVFB,B0BJZD1LJX,B0BKN6ZJZN,B0CS2CXTQQ,B0BKN3J5XW,B0CGVTM5NT,B0BJZMT3DG,B0BJZ3MM15","True Classic, Classic"
cotton shirts for men,男式纯棉衬衣,,0.48%,自然搜索词/SP广告词,"3,894 ",1.0,B0BKCBK6DM,"84,065","22,475 ","3,604 ",16.04%,"519,063 ","9,001 ",82 ,0.0,"64,095 ",0.4,129 ,10.0%,1.6%,$1.30,$1.04 - $1.47,B0787P86ZZ,4.5%,0.8%,B0C3D886WL,3.2%,0.2%,B077ZKDQLV,2.3%,0.6%,"B08F2NQ9VQ,B0787P86ZZ,B086L4XXGG,B08F2NGKYR,B0C3D5HR1L,B0BV25M88M,B00NOY3JOS,B086L57B7J,B08CGQ1Q6F,B06WPBLMZQ",Cotton
jimmy buffett shirts,吉米·巴菲特衬衫,,0.44%,自然搜索词/视频广告词,"3,580 ",1.0,B09Y5BD38Q,"99,195","20,339 ",547 ,2.69%,"419,685 ","9,124 ",13 ,0.0,"1,536 ",13.2,27 ,26.7%,6.8%,$0.69,$0.51 - $0.87,B0CHV3N8WN,10.7%,2.9%,B0CG152MPB,9.3%,1.2%,B0CJKV4M8Q,6.7%,2.7%,"B0CG152MPB,B0CHV3N8WN,B0CZ7J5BPL,B0CJKV4M8Q,B0CHV2H3GB,B0CK2F4RHL,B0CK3V58F8,B0CHV5FC7G,B0CKKN9QG4,B0CJNM7XYL",jimmy buffett
cuban shirts for men,男士古巴衬衫,,0.44%,自然搜索词/视频广告词,"3,566 ",1.0,B09Y5BD38Q,"92,938","20,519 ",61 ,0.30%,"560,403 ","8,915 ",2 ,0.0,"1,040 ",19.7,21 ,11.5%,0.8%,$0.92,$0.68 - $1.14,B0CYZKB7FC,4.7%,0.2%,B09NCBS6JC,4.0%,0.6%,B09NC636SF,2.9%,0.0%,"B0CSDB87XL,B0CJV1RLCH,B09N6SFQJJ,B09NCBS6JC,B0CPSSTYGV,B0B1TT3D64,B0CYZKB7FC,B0CK2SNNG5,B0BKSSDD6M,B07GBLFV68",cuban shirt
guy harvey shirts for men,男士哈维衬衫,,0.40%,自然搜索词/视频广告词,"3,259 ",1.0,B09Y5BD38Q,"101,040","19,469 ","1,349 ",6.93%,"422,695 ","8,973 ",31 ,0.0,179 ,108.8,18 ,8.1%,0.8%,$1.60,$1.20 - $2.00,B0BTFHP2XQ,4.1%,0.2%,B08DQ4NZB2,2.1%,0.6%,B09C82K2Z4,1.8%,0.0%,"B08DQ4NZB2,B08DQGJ82X,B08T8NFP5F,B0C9PKB28J,B08T8NTKPS,B09S2RPX1R,B0BTR3L5D9,B09RLZ7MVG,B09RM4LCTW,B0C3NYRXNM",Guy Harvey
hardaddy mens shirts,哈达迪男士衬衫,,0.40%,自然搜索词,"3,250 ",2.0,B09Y5BD38Q/B0BKCBK6DM,"99,946","17,971 ",562 ,3.13%,"473,048 ","8,133 ",13 ,0.0,200 ,89.9,114 ,15.1%,0.0%,$1.07,$0.81 - $1.21,B0D3C1SM1F,5.9%,0.0%,B0CG152MPB,4.6%,0.0%,B0CTHQMT1N,4.6%,0.0%,"B0BVZ6VTV5,B0C2PL7V5Z,B0CG152MPB,B0C4Y4N6NC,B0C4Y4L9VR,B0C6K2JN7C,B0C4GVGS5L,B0CTHRFXLY,B0CRDPRRSP,B0BVB6LQPT",hardaddy
hawaiian,哈威人,,0.40%,自然搜索词,"3,248 ",2.0,B09Y59M7RZ/B08Q7XM29N,"113,252","17,485 ",94 ,0.54%,"457,363 ","8,129 ",3 ,110.0,"44,267 ",0.4,212 ,10.8%,9.6%,$0.43,$0.34 - $0.49,B007ME1V7S,4.3%,3.5%,B07SPY2H5K,3.3%,3.3%,B0CR6SG9NZ,3.3%,2.8%,"B01F6LRW30,B007ME1V7S,B0CR6SG9NZ,B09GXF7KVD,B07SPY2H5K,B09Z28TMY4,B09PC113PJ,B0BNVZM1VV,B0CP1TNYTX,B0077QC3GO",hawaiian
men's hawaiian shirts short sleeve,男士夏威夷衬衫短袖,,0.39%,自然搜索词,"3,186 ",4.0,B08Q7XM29N/B0CP1S3J3H/B09Y59M7RZ/B08Q7Q6J2H,"309,828","4,844 ",166 ,3.44%,"108,317 ","1,859 ",4 ,20.0,"5,447 ",0.9,127 ,7.6%,0.4%,$0.81,$0.63 - $1.10,B0BL145735,3.1%,0.0%,B0CDGHS88Z,2.3%,0.0%,B089XWCYN6,2.2%,0.4%,"B093RZQLVX,B0BL145735,B09LVJKN4T,B089XWCYN6,B0CP1SW4CB,B07PJ9XBB6,B0CSYV8723,B0CT2TPBYM,B0C8M71HPV,B0CY1X7XPY","hawaiian, Short, Sleeve, Short Sleeve"
